B1 h	NA
Rnf168	GO:0016879~ligase activity, forming carbon-nitrogen bonds
Rnf168	GO:0043167~ion binding
Rnf168	GO:0046872~metal ion binding
Rnf168	GO:0032182~small conjugating protein binding
Rnf168	GO:0003682~chromatin binding
Rnf168	GO:0043130~ubiquitin binding
Rnf168	GO:0043169~cation binding
Rnf168	GO:0004842~ubiquitin-protein ligase activity
Rnf168	GO:0019787~small conjugating protein ligase activity
Rnf168	GO:0008270~zinc ion binding
Rnf168	GO:0016881~acid-amino acid ligase activity
Frat1	NA
Fxn	NA
Baalc	NA
Ehmt1	GO:0046914~transition metal ion binding
Ehmt1	GO:0016278~lysine N-methyltransferase activity
Ehmt1	GO:0042054~histone methyltransferase activity
Ehmt1	GO:0043169~cation binding
Ehmt1	GO:0008170~N-methyltransferase activity
Ehmt1	GO:0018024~histone-lysine N-methyltransferase activity
Ehmt1	GO:0046872~metal ion binding
Ehmt1	GO:0016279~protein-lysine N-methyltransferase activity
Ehmt1	GO:0008270~zinc ion binding
Ehmt1	GO:0008276~protein methyltransferase activity
Ehmt1	GO:0043167~ion binding
Wasf3	GO:0003779~actin binding
Wasf3	GO:0008092~cytoskeletal protein binding
2900076A07Rik,Mir1839	NA
Dtd2	NA
Gm22818	NA
Rpgrip1l	NA
Zfp131	GO:0003677~DNA binding
Zfp131	GO:0043167~ion binding
Zfp131	GO:0043169~cation binding
Zfp131	GO:0046914~transition metal ion binding
Zfp131	GO:0008270~zinc ion binding
Zfp131	GO:0046872~metal ion binding
Palm	GO:0031750~D3 dopamine receptor binding
Palm	GO:0050780~dopamine receptor binding
Ptpre	GO:0004721~phosphoprotein phosphatase activity
Ptpre	GO:0016791~phosphatase activity
Ptpre	GO:0042802~identical protein binding
Ptpre	GO:0046983~protein dimerization activity
Ptpre	GO:0004725~protein tyrosine phosphatase activity
Ptpre	GO:0042803~protein homodimerization activity
Trmt10b	NA
Aip	GO:0008134~transcription factor binding
Aip	GO:0003712~transcription cofactor activity
Aip	GO:0051082~unfolded protein binding
Aip	GO:0030528~transcription regulator activity
Ddx42	GO:0016887~ATPase activity
Ddx42	GO:0000166~nucleotide binding
Ddx42	GO:0003723~RNA binding
Ddx42	GO:0070035~purine NTP-dependent helicase activity
Ddx42	GO:0001883~purine nucleoside binding
Ddx42	GO:0032555~purine ribonucleotide binding
Ddx42	GO:0004386~helicase activity
Ddx42	GO:0042623~ATPase activity, coupled
Ddx42	GO:0008026~ATP-dependent helicase activity
Ddx42	GO:0017076~purine nucleotide binding
Ddx42	GO:0001882~nucleoside binding
Ddx42	GO:0032559~adenyl ribonucleotide binding
Ddx42	GO:0030554~adenyl nucleotide binding
Ddx42	GO:0032553~ribonucleotide binding
Ddx42	GO:0005524~ATP binding
Dnajb12	GO:0031072~heat shock protein binding
Dnajb12	GO:0051082~unfolded protein binding
Man1b1	GO:0005509~calcium ion binding
Man1b1	GO:0043167~ion binding
Man1b1	GO:0015923~mannosidase activity
Man1b1	GO:0043169~cation binding
Man1b1	GO:0004571~mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
Man1b1	GO:0046872~metal ion binding
Man1b1	GO:0015924~mannosyl-oligosaccharide mannosidase activity
Zfp37	GO:0003677~DNA binding
Zfp37	GO:0043169~cation binding
Zfp37	GO:0046872~metal ion binding
Zfp37	GO:0008270~zinc ion binding
Zfp37	GO:0043167~ion binding
Zfp37	GO:0046914~transition metal ion binding
Fam219a	NA
Top1mt	GO:0003916~DNA topoisomerase activity
Top1mt	GO:0032559~adenyl ribonucleotide binding
Top1mt	GO:0030554~adenyl nucleotide binding
Top1mt	GO:0001882~nucleoside binding
Top1mt	GO:0003917~DNA topoisomerase type I activity
Top1mt	GO:0032553~ribonucleotide binding
Top1mt	GO:0003677~DNA binding
Top1mt	GO:0005524~ATP binding
Top1mt	GO:0017076~purine nucleotide binding
Top1mt	GO:0003918~DNA topoisomerase (ATP-hydrolyzing) activity
Top1mt	GO:0000166~nucleotide binding
Top1mt	GO:0032555~purine ribonucleotide binding
Top1mt	GO:0001883~purine nucleoside binding
Magi2	NA
2810408M09Rik	GO:0000166~nucleotide binding
2810408M09Rik	GO:0017076~purine nucleotide binding
2810408M09Rik	GO:0032559~adenyl ribonucleotide binding
2810408M09Rik	GO:0030554~adenyl nucleotide binding
2810408M09Rik	GO:0032553~ribonucleotide binding
2810408M09Rik	GO:0004672~protein kinase activity
2810408M09Rik	GO:0005524~ATP binding
2810408M09Rik	GO:0001883~purine nucleoside binding
2810408M09Rik	GO:0004713~protein tyrosine kinase activity
2810408M09Rik	GO:0001882~nucleoside binding
2810408M09Rik	GO:0032555~purine ribonucleotide binding
Samd12	NA
Ano3	GO:0005254~chloride channel activity
Ano3	GO:0043167~ion binding
Ano3	GO:0043168~anion binding
Ano3	GO:0005216~ion channel activity
Ano3	GO:0046872~metal ion binding
Ano3	GO:0008509~anion transmembrane transporter activity
Ano3	GO:0022838~substrate specific channel activity
Ano3	GO:0031404~chloride ion binding
Ano3	GO:0015267~channel activity
Ano3	GO:0043169~cation binding
Ano3	GO:0005509~calcium ion binding
Ano3	GO:0022803~passive transmembrane transporter activity
Ano3	GO:0005253~anion channel activity
Csdc2	GO:0003723~RNA binding
Csdc2	GO:0003677~DNA binding
Ly6g6e	GO:0004672~protein kinase activity
Ly6g6e	GO:0005024~transforming growth factor beta receptor activity
Ly6g6e	GO:0004674~protein serine/threonine kinase activity
Ly6g6e	GO:0004675~transmembrane receptor protein serine/threonine kinase activity
Lcorl	GO:0030528~transcription regulator activity
Lcorl	GO:0003702~RNA polymerase II transcription factor activity
Lcorl	GO:0003677~DNA binding
Arhgap20	GO:0005096~GTPase activator activity
Arhgap20	GO:0008047~enzyme activator activity
Arhgap20	GO:0030695~GTPase regulator activity
Arhgap20	GO:0060589~nucleoside-triphosphatase regulator activity
Cep70	NA
Slc5a5	GO:0043167~ion binding
Slc5a5	GO:0043169~cation binding
Slc5a5	GO:0008507~sodium:iodide symporter activity
Slc5a5	GO:0015294~solute:cation symporter activity
Slc5a5	GO:0046872~metal ion binding
Slc5a5	GO:0031402~sodium ion binding
Slc5a5	GO:0031420~alkali metal ion binding
Slc5a5	GO:0008509~anion transmembrane transporter activity
Slc5a5	GO:0015296~anion:cation symporter activity
Slc5a5	GO:0015293~symporter activity
Slc5a5	GO:0015373~monovalent anion:sodium symporter activity
Slc5a5	GO:0015370~solute:sodium symporter activity
Uvrag	GO:0019904~protein domain specific binding
Uvrag	GO:0017124~SH3 domain binding
Mlec	GO:0030246~carbohydrate binding
Rltpr	NA
Ccdc37	NA
Mysm1	GO:0030528~transcription regulator activity
Mysm1	GO:0003713~transcription coactivator activity
Mysm1	GO:0004221~ubiquitin thiolesterase activity
Mysm1	GO:0016790~thiolester hydrolase activity
Mysm1	GO:0016563~transcription activator activity
Mysm1	GO:0043167~ion binding
Mysm1	GO:0008234~cysteine-type peptidase activity
Mysm1	GO:0070011~peptidase activity, acting on L-amino acid peptides
Mysm1	GO:0008134~transcription factor binding
Mysm1	GO:0003712~transcription cofactor activity
Mysm1	GO:0003677~DNA binding
Mysm1	GO:0043169~cation binding
Mysm1	GO:0046872~metal ion binding
Mysm1	GO:0008233~peptidase activity
Mysm1	GO:0046914~transition metal ion binding
Mysm1	GO:0008270~zinc ion binding
Mysm1	GO:0019783~small conjugating protein-specific protease activity
Mysm1	GO:0042393~histone binding
Mysm1	GO:0008237~metallopeptidase activity
Mysm1	GO:0004843~ubiquitin-specific protease activity
Slc9a3r2	NA
0610010F05Rik	NA
Jph1	GO:0005198~structural molecule activity
Jph1	GO:0008307~structural constituent of muscle
Hk1	GO:0017076~purine nucleotide binding
Hk1	GO:0000166~nucleotide binding
Hk1	GO:0019200~carbohydrate kinase activity
Hk1	GO:0001882~nucleoside binding
Hk1	GO:0030554~adenyl nucleotide binding
Hk1	GO:0005524~ATP binding
Hk1	GO:0004396~hexokinase activity
Hk1	GO:0032559~adenyl ribonucleotide binding
Hk1	GO:0032553~ribonucleotide binding
Hk1	GO:0001883~purine nucleoside binding
Hk1	GO:0032555~purine ribonucleotide binding
Calb2	GO:0043169~cation binding
Calb2	GO:0005509~calcium ion binding
Calb2	GO:0043167~ion binding
Calb2	GO:0046872~metal ion binding
Dedd2	GO:0003677~DNA binding
Gorab	NA
Chst12	GO:0016782~transferase activity, transferring sulfur-containing groups
Chst12	GO:0008146~sulfotransferase activity
Chst12	GO:0047756~chondroitin 4-sulfotransferase activity
Chst12	GO:0034481~chondroitin sulfotransferase activity
B2 h	NA
Eif4a1	GO:0008135~translation factor activity, nucleic acid binding
Eif4a1	GO:0030554~adenyl nucleotide binding
Eif4a1	GO:0042623~ATPase activity, coupled
Eif4a1	GO:0003743~translation initiation factor activity
Eif4a1	GO:0003723~RNA binding
Eif4a1	GO:0016887~ATPase activity
Eif4a1	GO:0017076~purine nucleotide binding
Eif4a1	GO:0001883~purine nucleoside binding
Eif4a1	GO:0070035~purine NTP-dependent helicase activity
Eif4a1	GO:0004386~helicase activity
Eif4a1	GO:0000166~nucleotide binding
Eif4a1	GO:0001882~nucleoside binding
Eif4a1	GO:0005524~ATP binding
Eif4a1	GO:0032559~adenyl ribonucleotide binding
Eif4a1	GO:0032555~purine ribonucleotide binding
Eif4a1	GO:0032553~ribonucleotide binding
Eif4a1	GO:0008026~ATP-dependent helicase activity
Krcc1	NA
Ociad1	NA
Ly6h	NA
Rsrp1	NA
Psap	NA
Nr4a2	GO:0046982~protein heterodimerization activity
Nr4a2	GO:0043565~sequence-specific DNA binding
Nr4a2	GO:0043169~cation binding
Nr4a2	GO:0043167~ion binding
Nr4a2	GO:0003700~transcription factor activity
Nr4a2	GO:0030528~transcription regulator activity
Nr4a2	GO:0008270~zinc ion binding
Nr4a2	GO:0003677~DNA binding
Nr4a2	GO:0046914~transition metal ion binding
Nr4a2	GO:0004879~ligand-dependent nuclear receptor activity
Nr4a2	GO:0046872~metal ion binding
Nr4a2	GO:0016563~transcription activator activity
Nr4a2	GO:0003707~steroid hormone receptor activity
Nr4a2	GO:0046983~protein dimerization activity
Rtn4	NA
Snhg11	NA
Arl6ip5	NA
Laptm4a	NA
Ufd1l	NA
Nr4a1	GO:0043169~cation binding
Nr4a1	GO:0004879~ligand-dependent nuclear receptor activity
Nr4a1	GO:0030528~transcription regulator activity
Nr4a1	GO:0043167~ion binding
Nr4a1	GO:0046983~protein dimerization activity
Nr4a1	GO:0003707~steroid hormone receptor activity
Nr4a1	GO:0046872~metal ion binding
Nr4a1	GO:0003677~DNA binding
Nr4a1	GO:0042803~protein homodimerization activity
Nr4a1	GO:0003700~transcription factor activity
Nr4a1	GO:0046982~protein heterodimerization activity
Nr4a1	GO:0042802~identical protein binding
Nr4a1	GO:0043565~sequence-specific DNA binding
Nr4a1	GO:0046914~transition metal ion binding
Nr4a1	GO:0016563~transcription activator activity
Nr4a1	GO:0008270~zinc ion binding
Gm27300,Meg3,Mir1906-1,Mir770	NA
Got2	GO:0016769~transferase activity, transferring nitrogenous groups
Got2	GO:0048037~cofactor binding
Got2	GO:0070279~vitamin B6 binding
Got2	GO:0008483~transaminase activity
Got2	GO:0004069~L-aspartate:2-oxoglutarate aminotransferase activity
Got2	GO:0030170~pyridoxal phosphate binding
Got2	GO:0019842~vitamin binding
Egr1	GO:0003677~DNA binding
Egr1	GO:0008270~zinc ion binding
Egr1	GO:0046914~transition metal ion binding
Egr1	GO:0046872~metal ion binding
Egr1	GO:0016563~transcription activator activity
Egr1	GO:0043167~ion binding
Egr1	GO:0043169~cation binding
Egr1	GO:0030528~transcription regulator activity
Egr1	GO:0003700~transcription factor activity
Cap2	GO:0003779~actin binding
Cap2	GO:0008092~cytoskeletal protein binding
Huwe1	GO:0004842~ubiquitin-protein ligase activity
Huwe1	GO:0003677~DNA binding
Huwe1	GO:0016879~ligase activity, forming carbon-nitrogen bonds
Huwe1	GO:0016881~acid-amino acid ligase activity
Huwe1	GO:0019787~small conjugating protein ligase activity
Arc	GO:0008092~cytoskeletal protein binding
Arc	GO:0003779~actin binding
Rasd1	GO:0032561~guanyl ribonucleotide binding
Rasd1	GO:0032555~purine ribonucleotide binding
Rasd1	GO:0000166~nucleotide binding
Rasd1	GO:0019001~guanyl nucleotide binding
Rasd1	GO:0032553~ribonucleotide binding
Rasd1	GO:0017076~purine nucleotide binding
Rasd1	GO:0005525~GTP binding
Gprc5d,Hebp1	NA
Lasp1	GO:0008092~cytoskeletal protein binding
Lasp1	GO:0046914~transition metal ion binding
Lasp1	GO:0008270~zinc ion binding
Lasp1	GO:0046872~metal ion binding
Lasp1	GO:0051015~actin filament binding
Lasp1	GO:0003779~actin binding
Lasp1	GO:0043169~cation binding
Lasp1	GO:0043167~ion binding
Dusp6	GO:0016791~phosphatase activity
Dusp6	GO:0033549~MAP kinase phosphatase activity
Dusp6	GO:0008138~protein tyrosine/serine/threonine phosphatase activity
Dusp6	GO:0004725~protein tyrosine phosphatase activity
Dusp6	GO:0017017~MAP kinase tyrosine/serine/threonine phosphatase activity
Dusp6	GO:0004721~phosphoprotein phosphatase activity
Dnajb5	GO:0031072~heat shock protein binding
Dnajb5	GO:0051082~unfolded protein binding
D10Jhu81e	NA
Fos	GO:0030528~transcription regulator activity
Fos	GO:0046983~protein dimerization activity
Fos	GO:0046982~protein heterodimerization activity
Fos	GO:0043566~structure-specific DNA binding
Fos	GO:0003677~DNA binding
Fos	GO:0003700~transcription factor activity
Fos	GO:0043565~sequence-specific DNA binding
Fos	GO:0003690~double-stranded DNA binding
Ctps2	GO:0016879~ligase activity, forming carbon-nitrogen bonds
Ctps2	GO:0001883~purine nucleoside binding
Ctps2	GO:0032555~purine ribonucleotide binding
Ctps2	GO:0003883~CTP synthase activity
Ctps2	GO:0000166~nucleotide binding
Ctps2	GO:0005524~ATP binding
Ctps2	GO:0032553~ribonucleotide binding
Ctps2	GO:0030554~adenyl nucleotide binding
Ctps2	GO:0001882~nucleoside binding
Ctps2	GO:0032559~adenyl ribonucleotide binding
Ctps2	GO:0017076~purine nucleotide binding
BC029722	NA
Serpini1	GO:0004857~enzyme inhibitor activity
Serpini1	GO:0004866~endopeptidase inhibitor activity
Serpini1	GO:0004867~serine-type endopeptidase inhibitor activity
Serpini1	GO:0030414~peptidase inhibitor activity
Egr4	GO:0043169~cation binding
Egr4	GO:0003677~DNA binding
Egr4	GO:0046914~transition metal ion binding
Egr4	GO:0008270~zinc ion binding
Egr4	GO:0046872~metal ion binding
Egr4	GO:0043167~ion binding
Rhoa	GO:0032561~guanyl ribonucleotide binding
Rhoa	GO:0005525~GTP binding
Rhoa	GO:0019001~guanyl nucleotide binding
Rhoa	GO:0003924~GTPase activity
Rhoa	GO:0017076~purine nucleotide binding
Rhoa	GO:0000166~nucleotide binding
Rhoa	GO:0032553~ribonucleotide binding
Rhoa	GO:0032555~purine ribonucleotide binding
Akt1s1	NA
Cacnb4	GO:0005261~cation channel activity
Cacnb4	GO:0015267~channel activity
Cacnb4	GO:0005509~calcium ion binding
Cacnb4	GO:0005245~voltage-gated calcium channel activity
Cacnb4	GO:0022803~passive transmembrane transporter activity
Cacnb4	GO:0022843~voltage-gated cation channel activity
Cacnb4	GO:0022838~substrate specific channel activity
Cacnb4	GO:0046873~metal ion transmembrane transporter activity
Cacnb4	GO:0046872~metal ion binding
Cacnb4	GO:0022836~gated channel activity
Cacnb4	GO:0043169~cation binding
Cacnb4	GO:0022832~voltage-gated channel activity
Cacnb4	GO:0008331~high voltage-gated calcium channel activity
Cacnb4	GO:0005244~voltage-gated ion channel activity
Cacnb4	GO:0043167~ion binding
Cacnb4	GO:0005216~ion channel activity
Cacnb4	GO:0005262~calcium channel activity
Gabra2	GO:0042165~neurotransmitter binding
Gabra2	GO:0022803~passive transmembrane transporter activity
Gabra2	GO:0030594~neurotransmitter receptor activity
Gabra2	GO:0031404~chloride ion binding
Gabra2	GO:0043167~ion binding
Gabra2	GO:0022838~substrate specific channel activity
Gabra2	GO:0015276~ligand-gated ion channel activity
Gabra2	GO:0008509~anion transmembrane transporter activity
Gabra2	GO:0022836~gated channel activity
Gabra2	GO:0022834~ligand-gated channel activity
Gabra2	GO:0004890~GABA-A receptor activity
Gabra2	GO:0005254~chloride channel activity
Gabra2	GO:0016917~GABA receptor activity
Gabra2	GO:0005216~ion channel activity
Gabra2	GO:0015267~channel activity
Gabra2	GO:0005253~anion channel activity
Gabra2	GO:0005230~extracellular ligand-gated ion channel activity
Gabra2	GO:0043168~anion binding
Tmem198	NA
Ube2s	GO:0032555~purine ribonucleotide binding
Ube2s	GO:0032559~adenyl ribonucleotide binding
Ube2s	GO:0019787~small conjugating protein ligase activity
Ube2s	GO:0032553~ribonucleotide binding
Ube2s	GO:0001882~nucleoside binding
Ube2s	GO:0001883~purine nucleoside binding
Ube2s	GO:0016881~acid-amino acid ligase activity
Ube2s	GO:0016879~ligase activity, forming carbon-nitrogen bonds
Ube2s	GO:0017076~purine nucleotide binding
Ube2s	GO:0004842~ubiquitin-protein ligase activity
Ube2s	GO:0000166~nucleotide binding
Ube2s	GO:0005524~ATP binding
Ube2s	GO:0030554~adenyl nucleotide binding
Clk1	GO:0032559~adenyl ribonucleotide binding
Clk1	GO:0005524~ATP binding
Clk1	GO:0030554~adenyl nucleotide binding
Clk1	GO:0004672~protein kinase activity
Clk1	GO:0004674~protein serine/threonine kinase activity
Clk1	GO:0004713~protein tyrosine kinase activity
Clk1	GO:0032555~purine ribonucleotide binding
Clk1	GO:0032553~ribonucleotide binding
Clk1	GO:0001882~nucleoside binding
Clk1	GO:0000166~nucleotide binding
Clk1	GO:0017076~purine nucleotide binding
Clk1	GO:0001883~purine nucleoside binding
Vamp1	NA
Prmt1	GO:0035242~protein-arginine omega-N asymmetric methyltransferase activity
Prmt1	GO:0016274~protein-arginine N-methyltransferase activity
Prmt1	GO:0042054~histone methyltransferase activity
Prmt1	GO:0016275~[cytochrome c]-arginine N-methyltransferase activity
Prmt1	GO:0016273~arginine N-methyltransferase activity
Prmt1	GO:0008276~protein methyltransferase activity
Prmt1	GO:0008469~histone-arginine N-methyltransferase activity
Prmt1	GO:0008170~N-methyltransferase activity
Prmt1	GO:0035241~protein-arginine omega-N monomethyltransferase activity
Eif2s3y	GO:0032553~ribonucleotide binding
Eif2s3y	GO:0017076~purine nucleotide binding
Eif2s3y	GO:0019001~guanyl nucleotide binding
Eif2s3y	GO:0032555~purine ribonucleotide binding
Eif2s3y	GO:0005525~GTP binding
Eif2s3y	GO:0000166~nucleotide binding
Eif2s3y	GO:0003924~GTPase activity
Eif2s3y	GO:0032561~guanyl ribonucleotide binding
Eif2s3y	GO:0003743~translation initiation factor activity
Eif2s3y	GO:0008135~translation factor activity, nucleic acid binding
Tmem181b-ps	NA
Coro2b	GO:0003779~actin binding
Coro2b	GO:0008092~cytoskeletal protein binding
E2f3	GO:0030528~transcription regulator activity
E2f3	GO:0003700~transcription factor activity
E2f3	GO:0016563~transcription activator activity
E2f3	GO:0003677~DNA binding
Slc18b1	NA
Gadd45b	NA
Tra2a	GO:0000166~nucleotide binding
Tra2a	GO:0042802~identical protein binding
Tra2a	GO:0003723~RNA binding
Ogt	GO:0008080~N-acetyltransferase activity
Ogt	GO:0016262~protein N-acetylglucosaminyltransferase activity
Ogt	GO:0008375~acetylglucosaminyltransferase activity
Ogt	GO:0016410~N-acyltransferase activity
Ogt	GO:0016407~acetyltransferase activity
Grasp	NA
Rac3	GO:0017076~purine nucleotide binding
Rac3	GO:0000166~nucleotide binding
Rac3	GO:0032555~purine ribonucleotide binding
Rac3	GO:0005525~GTP binding
Rac3	GO:0019001~guanyl nucleotide binding
Rac3	GO:0032561~guanyl ribonucleotide binding
Rac3	GO:0032553~ribonucleotide binding
Rac3	GO:0003924~GTPase activity
Stk32c	GO:0004672~protein kinase activity
Stk32c	GO:0032559~adenyl ribonucleotide binding
Stk32c	GO:0032555~purine ribonucleotide binding
Stk32c	GO:0001883~purine nucleoside binding
Stk32c	GO:0005524~ATP binding
Stk32c	GO:0001882~nucleoside binding
Stk32c	GO:0030554~adenyl nucleotide binding
Stk32c	GO:0000287~magnesium ion binding
Stk32c	GO:0046872~metal ion binding
Stk32c	GO:0017076~purine nucleotide binding
Stk32c	GO:0000166~nucleotide binding
Stk32c	GO:0032553~ribonucleotide binding
Stk32c	GO:0004674~protein serine/threonine kinase activity
Stk32c	GO:0043169~cation binding
Stk32c	GO:0043167~ion binding
9530059O14Rik,Mir138-1	NA
Kbtbd2	NA
Errfi1	NA
Ccnl2	NA
Rtn4rl2	NA
Dyrk3	GO:0017076~purine nucleotide binding
Dyrk3	GO:0004672~protein kinase activity
Dyrk3	GO:0000287~magnesium ion binding
Dyrk3	GO:0001882~nucleoside binding
Dyrk3	GO:0004713~protein tyrosine kinase activity
Dyrk3	GO:0046872~metal ion binding
Dyrk3	GO:0005524~ATP binding
Dyrk3	GO:0043169~cation binding
Dyrk3	GO:0001883~purine nucleoside binding
Dyrk3	GO:0004674~protein serine/threonine kinase activity
Dyrk3	GO:0032553~ribonucleotide binding
Dyrk3	GO:0043167~ion binding
Dyrk3	GO:0032555~purine ribonucleotide binding
Dyrk3	GO:0000166~nucleotide binding
Dyrk3	GO:0032559~adenyl ribonucleotide binding
Dyrk3	GO:0030554~adenyl nucleotide binding
Fus	GO:0016563~transcription activator activity
Fus	GO:0003677~DNA binding
Fus	GO:0000166~nucleotide binding
Fus	GO:0003723~RNA binding
Fus	GO:0046872~metal ion binding
Fus	GO:0030528~transcription regulator activity
Fus	GO:0046914~transition metal ion binding
Fus	GO:0008270~zinc ion binding
Fus	GO:0043169~cation binding
Fus	GO:0043167~ion binding
Chtf8	GO:0003677~DNA binding
B4 h	NA
Urod	GO:0004853~uroporphyrinogen decarboxylase activity
Urod	GO:0016831~carboxy-lyase activity
Ttr	GO:0042562~hormone binding
Ttr	GO:0015349~thyroid hormone transmembrane transporter activity
Ttr	GO:0005179~hormone activity
Mrm1	GO:0008173~RNA methyltransferase activity
Mrm1	GO:0003723~RNA binding
Nrd1	GO:0043167~ion binding
Nrd1	GO:0046914~transition metal ion binding
Nrd1	GO:0008270~zinc ion binding
Nrd1	GO:0008237~metallopeptidase activity
Nrd1	GO:0008233~peptidase activity
Nrd1	GO:0046872~metal ion binding
Nrd1	GO:0004222~metalloendopeptidase activity
Nrd1	GO:0043169~cation binding
Nrd1	GO:0070011~peptidase activity, acting on L-amino acid peptides
Nrd1	GO:0004175~endopeptidase activity
Phf3	GO:0046914~transition metal ion binding
Phf3	GO:0008270~zinc ion binding
Phf3	GO:0043169~cation binding
Phf3	GO:0043167~ion binding
Phf3	GO:0046872~metal ion binding
2610015P09Rik	NA
Lats2,Xpo4	NA
Slc1a2	GO:0005275~amine transmembrane transporter activity
Slc1a2	GO:0005343~organic acid:sodium symporter activity
Slc1a2	GO:0015171~amino acid transmembrane transporter activity
Slc1a2	GO:0005310~dicarboxylic acid transmembrane transporter activity
Slc1a2	GO:0015294~solute:cation symporter activity
Slc1a2	GO:0015293~symporter activity
Slc1a2	GO:0015501~glutamate:sodium symporter activity
Slc1a2	GO:0015370~solute:sodium symporter activity
Slc1a2	GO:0017153~sodium:dicarboxylate symporter activity
Slc1a2	GO:0008509~anion transmembrane transporter activity
Slc1a2	GO:0015296~anion:cation symporter activity
Slc1a2	GO:0015172~acidic amino acid transmembrane transporter activity
Slc1a2	GO:0005283~sodium:amino acid symporter activity
Slc1a2	GO:0015179~L-amino acid transmembrane transporter activity
Slc1a2	GO:0005313~L-glutamate transmembrane transporter activity
Slc1a2	GO:0005416~cation:amino acid symporter activity
Folr1	GO:0051183~vitamin transporter activity
Folr1	GO:0019842~vitamin binding
Folr1	GO:0051184~cofactor transporter activity
Folr1	GO:0005542~folic acid binding
Folr1	GO:0031406~carboxylic acid binding
Folr1	GO:0016597~amino acid binding
Folr1	GO:0043176~amine binding
Folr1	GO:0008517~folic acid transporter activity
Arntl2	GO:0003677~DNA binding
Arntl2	GO:0030528~transcription regulator activity
Arntl2	GO:0003700~transcription factor activity
B6 h	NA
Rpl12	GO:0003735~structural constituent of ribosome
Rpl12	GO:0005198~structural molecule activity
Rpl12	GO:0003723~RNA binding
Rpl10	GO:0003735~structural constituent of ribosome
Rpl10	GO:0005198~structural molecule activity
Snhg7,Snora17,Snora43	NA
Setd3	NA
Eif4g2	GO:0003743~translation initiation factor activity
Eif4g2	GO:0008135~translation factor activity, nucleic acid binding
Gbas	NA
Rcc1	GO:0005085~guanyl-nucleotide exchange factor activity
Rcc1	GO:0005083~small GTPase regulator activity
Rcc1	GO:0005087~Ran guanyl-nucleotide exchange factor activity
Rcc1	GO:0060589~nucleoside-triphosphatase regulator activity
Rcc1	GO:0030695~GTPase regulator activity
Rcc1	GO:0005088~Ras guanyl-nucleotide exchange factor activity
Agtrap	GO:0001595~angiotensin receptor activity
Agtrap	GO:0001653~peptide receptor activity
Agtrap	GO:0008528~peptide receptor activity, G-protein coupled
Agtrap	GO:0042277~peptide binding
Pgap2	GO:0008565~protein transporter activity
B1,2 h	NA
Nr4a2	GO:0046982~protein heterodimerization activity
Nr4a2	GO:0043565~sequence-specific DNA binding
Nr4a2	GO:0043169~cation binding
Nr4a2	GO:0043167~ion binding
Nr4a2	GO:0003700~transcription factor activity
Nr4a2	GO:0030528~transcription regulator activity
Nr4a2	GO:0008270~zinc ion binding
Nr4a2	GO:0003677~DNA binding
Nr4a2	GO:0046914~transition metal ion binding
Nr4a2	GO:0004879~ligand-dependent nuclear receptor activity
Nr4a2	GO:0046872~metal ion binding
Nr4a2	GO:0016563~transcription activator activity
Nr4a2	GO:0003707~steroid hormone receptor activity
Nr4a2	GO:0046983~protein dimerization activity
Stmn4	NA
Tmed9	NA
Aes	GO:0008134~transcription factor binding
Aes	GO:0003714~transcription corepressor activity
Aes	GO:0016564~transcription repressor activity
Aes	GO:0030528~transcription regulator activity
Aes	GO:0003712~transcription cofactor activity
Junb	GO:0003677~DNA binding
Junb	GO:0046983~protein dimerization activity
Junb	GO:0043565~sequence-specific DNA binding
Junb	GO:0003700~transcription factor activity
Junb	GO:0030528~transcription regulator activity
Nr4a1	GO:0043169~cation binding
Nr4a1	GO:0004879~ligand-dependent nuclear receptor activity
Nr4a1	GO:0030528~transcription regulator activity
Nr4a1	GO:0043167~ion binding
Nr4a1	GO:0046983~protein dimerization activity
Nr4a1	GO:0003707~steroid hormone receptor activity
Nr4a1	GO:0046872~metal ion binding
Nr4a1	GO:0003677~DNA binding
Nr4a1	GO:0042803~protein homodimerization activity
Nr4a1	GO:0003700~transcription factor activity
Nr4a1	GO:0046982~protein heterodimerization activity
Nr4a1	GO:0042802~identical protein binding
Nr4a1	GO:0043565~sequence-specific DNA binding
Nr4a1	GO:0046914~transition metal ion binding
Nr4a1	GO:0016563~transcription activator activity
Nr4a1	GO:0008270~zinc ion binding
Arc	GO:0008092~cytoskeletal protein binding
Arc	GO:0003779~actin binding
Bdh1	GO:0003858~3-hydroxybutyrate dehydrogenase activity
Fbxw2	NA
Fos	GO:0030528~transcription regulator activity
Fos	GO:0046983~protein dimerization activity
Fos	GO:0046982~protein heterodimerization activity
Fos	GO:0043566~structure-specific DNA binding
Fos	GO:0003677~DNA binding
Fos	GO:0003700~transcription factor activity
Fos	GO:0043565~sequence-specific DNA binding
Fos	GO:0003690~double-stranded DNA binding
Gpcpd1	GO:0008081~phosphoric diester hydrolase activity
Gpcpd1	GO:0030246~carbohydrate binding
Gpcpd1	GO:0008889~glycerophosphodiester phosphodiesterase activity
Ormdl3	NA
1500009C09Rik	NA
Dusp1	GO:0004725~protein tyrosine phosphatase activity
Dusp1	GO:0033549~MAP kinase phosphatase activity
Dusp1	GO:0017017~MAP kinase tyrosine/serine/threonine phosphatase activity
